text,diagnosis
and  but she has a boyfriend right ,control
so  this boy says ,control
 well  I'll tell you what ,control
 why don't you come with me to my winter formal ,control
 and it's all paid for ,control
 you don't pay for anything ,control
 and um we'll just go as friends ,control
 and at we leave  the bus leaves at five thirty in the morning ,control
and she was getting like really bad calls ,control
 I don't think it's a good idea if you go ,control
and she's like ,control
 I'm going I'm eighteen ,control
I'm like ,control
 okay ,control
gave her some money to go and helped her pack her bag ,control
got her bikini her formal ,control
and she called me back at eleven thirty crying because she  her boyfriend didn't think she should go ,control
and he  and so she called the guy and told him she wasn't going ,control
and he called her every filthy name in the book ,control
and hung up on her and  and hasn't talked to her since ,control
and so laughs anyway I was counseling her all weekend like ,control
 aren't you glad you didn't go ,control
and that's just how it goes when you're mother of a wild party girl ,control
laughs ,control
um well  we usually go to um Newport Beach ,control
my family's in Newport Beach and so we usually fly out ,control
and my  husb my husband's usually working but the girls and I usually go and spend time with my sister and her  she's got two daughters who are the same age as my daughters ,control
so  it's all fun ,control
and we go to the beach and go shopping ,control
my little  I have uh two brothers in Newport ,control
and they both have boats so we just go hang out ,control
they take us for boat rides ,control
and we you_know just go shop on the island ,control
and um go to lunch ,control
and call some of my old friends from high school ,control
and um we  we us usually go back like four times a year at least to Newport ,control
head,control
ah well this last summer I  my girls and I went up to Colorado for uh one of my airline reunions ,control
it's at Cherry Creek state park ,control
and there's probably like about a thousand people there ,control
it was a really nice day ,control
and um everybody brought food and we had a big barbecue out there ,control
took a_lot_of pictures and had scrapbooks ,control
and the girls were bored ,control
laughs they eventually took off ,control
took my car and went  my rental car and went shopping ,control
and um that was our last ,control
and then we got stuck because we go standby so we got stuck at the airport all day spent all day at the airport ,control
and then we  ha we went back um to get a hotel room the next night ,control
um we di had no  checked all our luggage so we had nothing um to sleep in or anything ,control
so  we hadta go to Walmart and by like de  Denver Bronco tl shirts for pajamas and flip flops and stuff to get by ,control
no head,control
not usually ,control
um you take a pot and you put like a couple of rocks in the bottom ,control
thick rocks ,control
and then you put a little bit of the new soil ,control
then you put your flower in ,control
and then you fill up the rest of it with um more soil ,control
and pat it down lightly ,control
and then you water it ,control
okay  um ,control
you take out the bread ,control
and um take out the peanut butter ,control
open it up ,control
um put it on the cutting board ,control
spread the peanut butter on one side ,control
did you want jelly too ,control
okay ,control
and then I usually put jelly on the other  use the other side of the bread to put the jelly on ,control
put them together ,control
cut the crust off first ,control
and then cut them in half ,control
is that Carl ,control
 oh  yeah  I know Carl ,control
okay ,control
do you want me to start with the story ,control
okay ,control
okay  the mother goes out um sh  for awhile and leaves the baby home with the dog Carl ,control
and he waitches ,control
once the mom is gone the baby gets on the dog's back ,control
and they go out and play ,control
first they start in the bed ,control
and they  ch they jump on the bed  the mom's bed ,control
jump up and down ,control
and then they go and play with the mom's makeup ,control
the baby puts um makeup and jewelry on the baby  or on the dog and on itself ,control
and then they play down the  go down the laundry chute ,control
he pushes the baby down the laundry chute ,control
and he runs down to catch her ,control
and they go for a ride ,control
he gives her a ride on piggyback ,control
and then they  um they play on their rug ,control
they um slide with the rug ,control
and they get  he goes for a little swim in the aquarium ,control
all things that they could never done when the mom's home ,control
then they do a little hiphop dancing ,control
put on some tunes and dance ,control
uh he listens to make sure the mom's not coming ,control
then they  they go and make a snack ,control
they go in the refrigerator and um make some  um have some bread and butter and some grapes and chocolate syrup  oh chocolate milk ,control
and they get into the cookie jar ,control
and um baby's getting kind_of tired and messy so Carl takes it up stairs ,control
drops in a bath ,control
bathes him ,control
gets him clean ,control
blow dries him off ,control
throws him back in the bed ,control
and cleans up the  goes back and cleans up the mess that they made ,control
straightens the bed up and the makeup ,control
makes sure that mom's not coming ,control
and just in time mom comes home and doesn't suspect a thing ,control
okay ,control
the mouse family is gonna go on a picnic ,control
so  they load up all their kids the back of the pickup ,control
and the baby one is right in the back ,control
and um they take off ,control
and the baby falls off into the um road ,control
and they don't notice that she's missing ,control
and they continue and they go about their picnic ,control
and are having a really good time and um swimming and dancing and playing music and um feeding the bugs and playing baseball ,control
and the  the baby mouse is crying feeling really sad that she missed the picnic and she's all scared and lost ,control
then she spots all these wild raspberries ,control
and so um while  meanwhile her family's back there having s cheese and milk and sandwiches and taking pictures and um sailing boats um she's getting her fill of the wild raspberries ,control
and so she's not so sad anymore ,control
and suddenly they realize that she's missing ,control
they lined up all their kids ,control
and they start freaking out and start calling for her and looking and looking everywhere ,control
and then some of the kids are sad that she's missing ,control
and so they pack up to go back  um to go look for her ,control
and she's laying there with a stomach ache from all the berries ,control
and they go back ,control
and she hears them coming and she says ,control
 hey here I am ,control
and they get reunited ,control
and they're all happy to see her ,control
and then they go back with the pickup just to picnic with her ,control
okay ,control
um when I was uh about  when I was like having my first child um I was not sposta get pregnant ,control
I  I had a big tumor a big fibroid tumor ,control
they told me not to get pregnant ,control
and uh I was gonna have surgery ,control
and so I was all set to have the surgery and like a week or three days before I went in for my final preop and they just hadta do a precautionary blood test ,control
and they found out I was pregnant ,control
and they were really upset with me ,control
and um I was thirty two years old so um I shoulda known better ,control
but um they told me that I would never be able to carry the baby ,control
I might as_well just eliminate the pregnancy ,control
but I just went ahead and said ,control
 I'll just leave it up to god ,control
and the whole time my doctor's like ,control
 don't get your hopes up ,control
 this baby um probably won't make it ,control
because I'd had like three miscarriages prior because of this tumor ,control
and so they told me never to go through train the  s the  um the breathing training the what's that uh Lamaze because I was gonna if I ever did have the baby it would be csection ,control
well  everything was fine and then she  di I just kept growing and um um nine months went by and the baby was still there ,control
and then I went into labor ,control
and at the last minute the tumor moved right to the side and she came out ,control
and  and so xxx uh she was never sposta have made it ,control
and so she was in_utero with a large fibroid  fibroid tumor ,control
and so uh right after  like a month after she was born I hadta have the surgery to remove it ,control
my wild party girl ,control
um well  like my sister's nanny speaks Spanish ,control
and so sometimes it's hard to you_know because I don't speak Spanish ,control
um I um will  sometimes will hafta like um act things out for her because I don't speak Spanish and her English is not that good ,control
and we'll like use hand signals or point to things ,control
and  sh and she  uh she's very nice and sweet but um somehow we end up like understanding each other ,control
and we just laugh about it ,control
you_know so ,control
okay  when I was  when I was a flight attendant uh at one point I flew on this really old airplane ,control
it was older than me ,control
it was built in the early fifties ,control
it was a Convair five eighty ,control
and we were landing in Aspen ,control
and the weather was at minimums which means we're just barely able to land ,control
um otherwise it got any worse we wouldn't  we'd hafta go back to Denver ,control
but we  I had a full airplane and we were coming into land  gpxmimics plane landing with left hand ,control
and um the pilots decided to go around because they couldn't see the runway ,control
and when they went to go around ,control
ges,control
and you can't see anything where the mountains are ,control
well  we were circling  coming in and they decided to go around and they didn't pull the gear up when they went around ,control
so  they stalled the airplane ,control
and what that feels like is your whole airplane is like shaking and shuttering and going like this ,control
and  and we could see the tops of the trees ,control
and somehow they put it in a nosedive to get the speed up ,control
and then they were able to  barely able to pull it out ,control
and everybody's looking at me ,control
and I'm the flight attendant so I hafta just smile ,control
and um um my crew is  normally they're allowed to make two attempts ,control
and they said ,control
 that's it we're done ,control
 we're going back to Denver ,control
 we're not even ,control
 we're done for the day ,control
and I guess the guys that work on the ramp or the one's waiting to flag us in saw  saw the airplane come in ,control
and they saw what happened ,control
and we almost crashed right over this really um s fancy area called Starwood where all the celebrities live ,control
Goldie Hawn and Kurt Russell and um Don Johnson they all have their homes up in Starwood ,control
and John Denver at the time ,control
 but we almost  cra they said that we  they saw us like disappear over the mountain and their hearts just went into their throats ,control
they were sure we were gone ,control
they were just waiting for the flames to come up ,control
but I was trying to pass out candy afterwards and  and beer ,control
laughs and I had this basket of candy ,control
and my  I was trying to act like really normal but my  the candy was popping out_of the basket you_know because my hands were like ges ,control
I was like  it was r really strange because it goes really in a slow motion ,control
it gets very slow and you think ,control
 okay  this is what it's like to die ,control
 oh  weird ,control
you_know  everything gets very drawn out ,control
that was my s laughs ,control
 yeah jeez ,control
okay  um this um picture was taken during Hurricane Ike when this girl's fa  grandmother decided they were gonna wait out the hurricane and they didn't evacuate ,control
and um the grandmother got swept away in the car ,control
and the daughter was like down the river ,control
and the firemen um were back doing one more uh final like check before they totally evacuated ,control
and they see this girl floating down the river ,control
and he reaches out a branch to try to save her ,control
and almost goes in himself but they were both safe ,control
and the grandmother was never found ,control
okay  um ,control
little Ricky's outside playing with a ball  soccer ball ,control
and he's not careful and he  he kicks it right through the window ,control
and um the stepdad sees the ball and knocks over  it  th it knocks over the lamp ,control
and he decides to punish the boy ,control
he will hide the ball ,control
and he puts it in the washing machine ,control
okay  um ,control
Ricky's gonna go to school ,control
and his mom says ,control
 you might need this umbrella ,control
 it  it's probably gonna rain ,control
 no I'll be fine ,control
 I don't need it ,control
so  he takes off walking to school ,control
and all a sudden it starts raining ,control
he covers his head and runs back getting all wet ,control
and his mom's unhappy with him because he's gotten wet ,control
she  he didn't listen to her ,control
so  he takes the umbrella then proceeds to school not getting any further soaked ,control
oh  okay ,control
oh  um Cinderella's father marries um the stepmother ,control
and um he introduces he her to hi  her daughters and the stepmother and the two stepsisters and the cat ,control
and um then the father goes away and the  they make Cinderella do all the chores and all the cleaning and all the dirty work ,control
and um um then um the  they get an invitation to a ball ,control
and um Cinderella wants to go ,control
they said ,control
 of_course  you can't go ,control
and the sisters get dressed ,control
and Cinderella goes into her mom's old trunk and finds um an old dress ,control
and puts that on and some jewelry ,control
and the girls  the sisters see her ,control
and they take it away and say ,control
 you can't go ,control
 you hafta stay here and do all our dirty work ,control
and so uh they go to the ball ,control
and then the fairy godmother shows up and dresses her up ,control
and gets her in the carriage and says ,control
 you gotta go by midnight ,control
and so she goes to the ball ,control
and everybody's like ,control
 who's that ,control
 who's that beautiful girl ,control
and she dances with the prince ,control
and  and they fall madly in love ,control
and then she realizes it's almost midnight so she hasta rush home ,control
and she rushes home and she loses her shoe on the way ,control
and um so uh a couple days later they're coming through the village trying to figure out whose shoe it is ,control
and of_course all the stepsisters try on the shoe and it doesn't fit them ,control
and they go ,control
 isn't there anybody else here ,control
and Cinderella comes from around the corner and they say ,control
 yes ,control
 there's one more girl ,control
it fits perfectly ,control
and then the prince shows up ,control
and they get married ,control
live happily ever after ,control
