text,Split_Clauses,Word_Counts,Max_Syntax_Tree_Depth,Word_Order,Verb_Phrases
and then along outof the blue comes this fairy godmother who,['and then along outof the blue comes this fairy godmother who'],[11],2,['SV'],[1]
and she basically turns all her rags into wonderful clothes,['and she basically turns all her rags into wonderful clothes'],[10],3,['SVO'],[1]
and he,['and he'],[2],1,['V'],[0]
and her both horses suddenly emerge,['and her both horses suddenly emerge'],[6],2,['SV'],[1]
and shes whisked away to the ball,['and shes whisked away to the ball'],[8],3,['V'],[1]
and shes given a warning that she that before she sets,"['and shes given a warning that she that before she sets', 'before she sets']","[12, 3]",4,"['VOS', 'SV']","[1, 1]"
she says youknow the fairy godmother tells her,"['youknow the fairy godmother tells her', 'she says youknow the fairy godmother tells her']","[6, 8]",4,"['VSO', 'SVO']","[1, 1]"
you hafta be home by midnight or everythings gonna turn back to,"['gonna turn back to', 'you hafta be home by midnight or everythings gonna turn back to']","[5, 13]",4,"['V', 'SV']","[2, 2]"
loandbehold she goes to the ball,['loandbehold she goes to the ball'],[6],3,['SV'],[1]
princess,['princess'],[1],0,['V'],[0]
but nothing woulda struck his fancy,"['woulda struck his fancy', 'but nothing woulda struck his fancy']","[4, 6]",3,"['SVO', 'VSO']","[1, 0]"
but then he sees Cinderella,['but then he sees Cinderella'],[5],1,['SVO'],[1]
and after that its happiness for all of them,['and after that its happiness for all of them'],[9],4,['V'],[0]
theyre just having a great time,['theyre just having a great time'],[7],2,['SVO'],[1]
then she suddenly realizes its close to midnight,['then she suddenly realizes its close to midnight'],[8],3,['SVO'],[1]
and she rushes down the stairs leaves a slipper behind,"['leaves a slipper behind', 'and she rushes down the stairs leaves a slipper behind']","[4, 10]",3,"['VO', 'SVO']","[1, 1]"
and she gets into the chariot and heads home,['and she gets into the chariot and heads home'],[9],3,['SV'],[1]
but shes lost her shoe,['but shes lost her shoe'],[6],2,['SVO'],[1]
and shes back to where she was,['and shes back to where she was'],[8],4,['SV'],[1]
and xxx comes,['and xxx comes'],[3],1,['SV'],[1]
there she is working away still,['there she is working away still'],[6],1,['SV'],[1]
and then theres an announcement that the prince is trying to,['and then theres an announcement that the prince is trying to'],[12],4,['VS'],[2]
and he still has the shoe,['and he still has the shoe'],[6],2,['SVO'],[1]
and he wants looks to wants to find the match,['and he wants looks to wants to find the match'],[10],5,['SVO'],[3]
anyways he goes around from home to home in all the kingdom,['anyways he goes around from home to home in all the kingdom'],[12],3,['SV'],[1]
and ofcourse it doesnt work,"['and ofcourse', 'and ofcourse it doesnt work']","[2, 6]",2,"['V', 'SV']","[0, 1]"
they ask if anybody else is there,['they ask if anybody else is there'],[7],3,['SV'],[1]
and sure enough the they they they pretend shes not,"['and sure enough the they they they pretend shes not', 'shes not']","[11, 3]",3,"['OSV', 'SV']","[1, 1]"
but ultimately she she gets a crack at it and tries it on,"['tries it on', 'but ultimately she she gets a crack at it and tries it on']","[3, 13]",3,"['VO', 'SVO']","[1, 1]"
and its a perfect fit,['and its a perfect fit'],[5],1,['V'],[0]
and well he she ends up happily with the prince,['and well he she ends up happily with the prince'],[10],3,['SV'],[1]
there it is,['there it is'],[3],1,['SV'],[0]
my granddaughter of five could probably do it better,['my granddaughter of five could probably do it better'],[9],3,['SVO'],[1]
sure,['sure'],[1],0,['V'],[0]
the bus is coming,['the bus is coming'],[4],2,['SV'],[1]
the tour bus is coming,['the tour bus is coming'],[5],2,['SV'],[1]
the tour bus is coming into the town,['the tour bus is coming into the town'],[8],3,['SV'],[1]
the tour bus is coming into the town to pick up the people,"['the tour bus is coming into the town to pick up the people', 'to pick up the people']","[13, 5]",3,"['SVO', 'VO']","[2, 1]"
the tour bus is coming into the town to pick up the people from the,"['the tour bus is coming into the town to pick up the people from the', 'to pick up the people from the']","[15, 7]",3,"['SVO', 'VO']","[2, 1]"
the tour bus is coming into the town to pick up people from the,"['to pick up people from the', 'the tour bus is coming into the town to pick up people from the']","[6, 14]",3,"['VO', 'SVO']","[1, 2]"
the fact that it doesnt make sense,"['that it doesnt make sense', 'the fact that it doesnt make sense']","[6, 8]",2,"['SVO', 'VSO']","[1, 1]"
not as easy to do I should tell you if it doesnt make sense,"['not as easy to do I should tell you if it doesnt make sense', 'if it doesnt make sense']","[15, 6]",3,"['SVO', 'SVO']","[3, 1]"
the dog chased the cat up the tree,['the dog chased the cat up the tree'],[8],3,['SVO'],[1]
the bird was caught by the worm,['the bird was caught by the worm'],[7],3,['V'],[1]
would you like to star in a movie,"['to star in a movie', 'would you like to star in a movie']","[5, 8]",4,"['V', 'SV']","[1, 2]"
books like to read children,"['books like to read children', 'to read children']","[5, 3]",2,"['SVO', 'VO']","[2, 1]"
icecream tastes good in the summer,['icecream tastes good in the summer'],[6],3,['SV'],[1]
beautiful flowers smell the lovely woman,['beautiful flowers smell the lovely woman'],[6],2,['SVO'],[1]
count to ten as fast as you can,['count to ten as fast as you can'],[8],3,['VS'],[1]
the man saw the boy that the dog chased,['the man saw the boy that the dog chased'],[9],4,['SVO'],[1]
tell me the name of the person next door,['tell me the name of the person next door'],[9],4,['VO'],[1]
how many are in a dozen,['how many are in a dozen'],[6],3,['V'],[0]
the tiger was clawed by the lion,['the tiger was clawed by the lion'],[7],3,['V'],[1]
bad weather was caused by long airplane delays,['bad weather was caused by long airplane delays'],[8],3,['V'],[1]
sounds like a ten minute interview,['sounds like a ten minute interview'],[6],4,['V'],[1]
I hafta think about the scenario for two minutes and then talk,"['then talk', 'I hafta think about the scenario for two minutes and then talk']","[2, 12]",3,"['V', 'SV']","[1, 1]"
it was important to me to get into law school,"['to get into law school', 'it was important to me to get into law school']","[5, 10]",4,"['V', 'SV']","[1, 1]"
that was something that happened that was very important,['that was something that happened that was very important'],[9],4,['SV'],[0]
I have no idea why I was accepted because I dont think I met any,"['I have no idea why I was accepted because I dont think I met any', 'because I dont think I met']","[16, 7]",3,"['SVO', 'SV']","[3, 1]"
thirty two,['thirty two'],[2],1,['V'],[0]
I was thirty two when I started,"['I was thirty two when I started', 'when I started']","[7, 3]",2,"['SV', 'SV']","[0, 1]"
so I guess I was thirty one when I applied,['so I guess I was thirty one when I applied'],[10],3,['SV'],[1]
and in my year the median age was twenty two,['and in my year the median age was twenty two'],[10],3,['SV'],[0]
so I was one of the oldest in the class had nothing in common,"['so I was one of the oldest in the class had nothing in common', 'had nothing in common']","[14, 4]",6,"['SVO', 'VO']","[0, 1]"
Imean they still remembered highschool,['Imean they still remembered highschool'],[5],1,['SVO'],[1]
who thought about highschool,['who thought about highschool'],[4],2,['SV'],[1]
and they all knew eachother from highschool,['and they all knew eachother from highschool'],[7],3,['SVO'],[1]
and they were there because they didnt get into medical school or,"['and they were there because they didnt get into medical school or', 'because they didnt get into medical school']","[13, 8]",4,"['SV', 'SV']","[1, 1]"
and I was just flummoxed,['and I was just flummoxed'],[5],1,['V'],[1]
I was just sitting in this room listening to these people who came,"['listening to these people who came', 'I was just sitting in this room listening to these people who came']","[6, 13]",5,"['VS', 'SV']","[1, 1]"
they were just there because,['they were just there because'],[5],2,['SV'],[0]
well I guess it was the best thing that they could do under the,['well I guess it was the best thing that they could do under the'],[14],5,['SVO'],[2]
and I was there because I just really cared,"['because I just really cared', 'and I was there because I just really cared']","[5, 9]",2,"['SV', 'SV']","[1, 0]"
and so I really didnt fit in really,['and so I really didnt fit in really'],[9],1,['SV'],[1]
it was at the end of the first year when I made my first real,['it was at the end of the first year when I made my first real'],[15],7,['SVO'],[0]
up until then I was friendly with people but I didnt understand,['up until then I was friendly with people but I didnt understand'],[13],3,['SV'],[1]
and it was very limited because we were told to get into study,"['because we were told to get into study', 'and it was very limited because we were told to get into study']","[8, 13]",4,"['V', 'SV']","[2, 2]"
and I never spoke in class because I could never understand what,"['because I could never understand what', 'and I never spoke in class because I could never understand what']","[6, 12]",2,"['SV', 'SV']","[1, 2]"
ke they asked questions for which the answers seemed obvious,['ke they asked questions for which the answers seemed obvious'],[10],4,['SVO'],[1]
why would anybody say the obvious,['why would anybody say the obvious'],[6],2,['SVO'],[1]
so people said the obvious,['so people said the obvious'],[5],2,['SVO'],[1]
and they were rewarded,['and they were rewarded'],[4],1,['V'],[1]
so those were the people sought after to be in the study groups,['so those were the people sought after to be in the study groups'],[13],6,['SV'],[0]
not me,['not me'],[2],1,['V'],[0]
so I did almost everything alone for the entire year,['so I did almost everything alone for the entire year'],[10],3,['SVO'],[1]
and when I asked to borrow one of my friends notes she said she,"['she said she', 'and when I asked to borrow one of my friends notes she said she', 'when I asked to borrow one of my friends']","[3, 14, 9]",6,"['SVO', 'SOV', 'SVO']","[1, 2, 2]"
so I said,['so I said'],[3],1,['SV'],[1]
thanks but no thanks,['thanks but no thanks'],[4],3,['V'],[0]
dont bother,['dont bother'],[3],1,['V'],[1]
and somewhere along the line I found a group that really didnt,['and somewhere along the line I found a group that really didnt'],[13],4,['SVO'],[1]
and just anybody who wanted to could be part of it,"['who wanted to could be part of it', 'and just anybody who wanted to could be part of it']","[8, 11]",5,"['SV', 'VS']","[1, 0]"
so that was me,['so that was me'],[4],1,['SV'],[0]
so I was part of that group for some classes,['so I was part of that group for some classes'],[10],4,['SV'],[0]
at the end of the year in the subway station I met someone who,['at the end of the year in the subway station I met someone who'],[14],5,['SVO'],[1]
but we had been divided into two groups of fifty or seventy,['but we had been divided into two groups of fifty or seventy'],[12],5,['V'],[1]
and she was in the other group,['and she was in the other group'],[7],3,['SV'],[0]
so I never saw her,['so I never saw her'],[5],1,['SVO'],[1]
and in second year things improved a bit because then I think I,"['and in second year things improved a bit because then I think', 'because then I think']","[12, 4]",3,"['SV', 'SV']","[1, 1]"
and that was good,['and that was good'],[4],1,['SV'],[0]
ke once I had a couple of friends to talk to and especially one,"['once I had a couple of friends to talk to and', 'ke once I had a couple of friends to talk to and especially one']","[11, 14]",5,"['SVO', 'VSO']","[2, 1]"
as an example of the incredible snobbiness of the school and the,['as an example of the incredible snobbiness of the school and the'],[12],6,['V'],[0]
and he said,['and he said'],[3],1,['SV'],[1]
please when you write your exams dont think that your mark is,"['please when you write your exams dont think that your mark is', 'when you write your exams']","[13, 5]",3,"['SOV', 'SVO']","[1, 1]"
and I thought,['and I thought'],[3],1,['SV'],[1]
wow it is so amazing to hear something like that,"['to hear something like that', 'wow it is so amazing to hear something like that']","[5, 10]",4,"['VO', 'SVO']","[1, 1]"
and I said that to someone in my class who completely disparaged,['and I said that to someone in my class who completely disparaged'],[12],5,['SVO'],[1]
it was in law school that I learned that competentq was a,"['that I learned that competentq was a', 'it was in law school that I learned that competentq was a']","[7, 12]",3,"['SV', 'SVO']","[1, 0]"
oh hes a competent lawyer,['oh hes a competent lawyer'],[6],2,['SV'],[1]
and that the positive term was brightq,['and that the positive term was brightq'],[7],2,['SV'],[0]
if you werent bright you were nobody,['if you werent bright you were nobody'],[8],2,['SV'],[0]
so because he wasnt bright the students didnt respect him,['so because he wasnt bright the students didnt respect him'],[12],2,['SVO'],[1]
and I made the mistake of saying to someone,['and I made the mistake of saying to someone'],[9],5,['SVO'],[1]
youknow yeah okay but hes decent,['youknow yeah okay but hes decent'],[7],0,['VS'],[1]
ke hes a decent person,['ke hes a decent person'],[6],2,['SV'],[1]
he has a heart,['he has a heart'],[4],2,['SVO'],[1]
and she said,['and she said'],[3],1,['SV'],[1]
a heart,['a heart'],[2],1,['V'],[0]
I didnt come to Oz where this one doesnt have a brain and this,['I didnt come to Oz where this one doesnt have a brain and this'],[16],5,['SVO'],[2]
I came to law school,['I came to law school'],[5],3,['SV'],[1]
didnt talk to her again,['didnt talk to her again'],[6],2,['V'],[1]
UofT,['UofT'],[1],0,['V'],[0]
UofT was and continues to try to be the Harvard of Canada,"['continues to try to be the Harvard of Canada', 'UofT was and continues to try to be the Harvard of Canada']","[9, 12]",6,"['V', 'SV']","[2, 1]"
I dont know why,['I dont know why'],[5],1,['SV'],[1]
