text,Split_Clauses,Word_Counts,Max_Syntax_Tree_Depth,Word_Order,Verb_Phrases
but,['but'],[1],0,['V'],[0]
I have three children,['I have three children'],[4],2,['SVO'],[1]
and youknow and youknow my u ught wife she have she no,"['youknow my u ught wife she have she', 'and youknow and youknow my u ught wife she have she no']","[8, 12]",3,"['VOS', 'VOS']","[1, 1]"
well I I I I dont wanna talk about it while Gretchen is there but but she had tough deliveries,"['talk about it', 'well I I I I dont wanna talk about it while Gretchen is there']","[3, 15]",3,"['V', 'SVO']","[1, 1]"
but when my r daughter was born,['but when my r daughter was born'],[7],2,['V'],[1]
and she liked to go there,"['to go there', 'and she liked to go there']","[3, 6]",2,"['V', 'SV']","[1, 2]"
and we didnt make it,['and we didnt make it'],[6],1,['SVO'],[1]
and we and the the baby come out,['and we and the the baby come out'],[8],3,['SV'],[1]
and and I I dlivdu,['and and I I dlivdu'],[5],2,['SV'],[1]
my son,['my son'],[2],1,['V'],[0]
its the,['its the'],[2],1,['V'],[0]
yeah I I I got them the I I have them at the hospital,['yeah I I I got them the I I have them at the hospital'],[14],0,['VSO'],[2]
and u,['and u'],[2],1,['V'],[1]
and then I just get in and and it was she couldnt call me,['and then I just get in and and it was she couldnt call me'],[15],3,['SVO'],[2]
I a nurse geu,['I a nurse geu'],[4],1,['SV'],[0]
I said,['I said'],[2],1,['SV'],[1]
I said,['I said'],[2],1,['SV'],[1]
and I said,['and I said'],[3],1,['SV'],[1]
it was ohboy I I never I I Im not I I I think Ive its appropriate not appropriate for you to you to to see that but,['it was ohboy I I never I I Im not I I I think Ive its appropriate not appropriate for you to you to to see that but'],[30],1,['SVO'],[3]
it it and but important r person in my life xxx,['it it and but important r person in my life xxx'],[11],4,['V'],[0]
and she shes a she is a youknow I know,"['I know', 'and she shes a she is a youknow I know', 'and she shes a']","[2, 11, 5]",2,"['SV', 'SV', 'SV']","[1, 0, 1]"
I cant deny I Im my daughter was the best thing that ever,"['I cant deny I Im my daughter was the best thing that ever', 'Im']","[15, 2]",3,"['SVO', 'SV']","[1, 1]"
I have two sons good good good sons,['I have two sons good good good sons'],[8],2,['SVO'],[1]
but my daughter is shes the best,"['shes the best', 'but my daughter is shes the best']","[4, 8]",3,"['SV', 'SV']","[1, 0]"
and,['and'],[1],0,['V'],[0]
you didnt know that one I I delivered to Gloranne right,['you didnt know that one I I delivered to Gloranne right'],[12],4,['SVO'],[1]
thats it,['thats it'],[3],1,['SVO'],[1]
I I I I I I I I I I,['I I I I I I I I I I'],[10],1,['V'],[6]
I what mighta made me think of that I dont know but maybe,"['I what mighta made me think of that', 'what mighta made me think of that']","[8, 7]",3,"['SV', 'OSV']","[1, 1]"
okay,['okay'],[1],0,['V'],[0]
okay,['okay'],[1],0,['V'],[0]
the the the kids playing with the soccer ball,"['playing with the soccer ball', 'the the the kids playing with the soccer ball']","[5, 9]",4,"['V', 'V']","[1, 0]"
and his father watching the tv,['and his father watching the tv'],[6],2,['SVO'],[1]
and maybe but it but it they tick,['and maybe but it but it they tick'],[8],1,['VS'],[0]
and the the fathers mad,['and the the fathers mad'],[5],2,['SV'],[0]
thats all,['thats all'],[3],1,['SV'],[1]
www,['www'],[1],0,['V'],[0]
okay the the the kid theres a little,['okay the the the kid theres a little'],[9],2,['SV'],[1]
I dont know,['I dont know'],[4],1,['SV'],[1]
its a boy or a girl,['its a boy or a girl'],[6],2,['V'],[0]
but a mother tells her kid to its gonna rain,"['but a mother tells her kid to its gonna rain', 'na rain']","[11, 2]",3,"['SVO', 'V']","[2, 1]"
and the the kid dont wanna take the umbrella,"['and the the kid dont wanna take the umbrella', 'the the kid dont wanna']","[10, 6]",3,"['SVO', 'SV']","[2, 1]"
and then hes raining out and in,['and then hes raining out and in'],[8],2,['SV'],[1]
and mommy knows best,['and mommy knows best'],[4],1,['SV'],[1]
and the the kid got the umbrella,['and the the kid got the umbrella'],[7],2,['SVO'],[1]
www,['www'],[1],0,['V'],[0]
okay,['okay'],[1],0,['V'],[0]
Suzy cat the the the the the cat the the the,['Suzy cat the the the the the cat the the the'],[11],3,['VO'],[0]
Suvy is get the the the the the kitten,['Suvy is get the the the the the kitten'],[9],3,['VO'],[1]
the the kitten and,['the the kitten and'],[4],1,['V'],[0]
he he got the the the kitten the cat he gonna stuck up a tree,['he he got the the the kitten the cat he gonna stuck up a tree'],[16],6,['SVO'],[2]
and the father wants to help them but he,"['to help them', 'and the father wants to help them but he']","[3, 9]",2,"['VO', 'SVO']","[1, 2]"
and the dogs are barking,['and the dogs are barking'],[5],2,['SV'],[1]
and he hes just he he the poppa is having a tough day,"['and he hes just he he the poppa is having a tough day', 'the poppa is having a tough day']","[14, 7]",3,"['SVO', 'SVO']","[2, 1]"
and then he hafta to get a fireman who how to get him out the tree,"['to get a fireman who how to get him out the tree', 'and then he hafta to get a fireman who how to get him out the tree']","[12, 16]",6,"['VOS', 'SVO']","[2, 2]"
he looks like,['he looks like'],[3],1,['SV'],[1]
maybe a Hurricane Katrina,['maybe a Hurricane Katrina'],[4],1,['V'],[0]
he he a rescue guy that is going t t,['he he a rescue guy that is going t t'],[10],4,['VS'],[1]
he he he is drowning in he he he like maybe its a river,"['he he he is drowning in he', 'he is drowning in he']","[7, 5]",3,"['VS', 'SV']","[1, 1]"
and then the girl and the rescue worker hafta try to get a belt,"['and then the girl and the rescue worker hafta try to get a belt', 'to get a belt']","[14, 4]",3,"['SVO', 'VO']","[2, 1]"
and and and hes having a rough time getting the belt through to the little the young girl,['and and and hes having a rough time getting the belt through to the little the young girl'],[19],6,['SVO'],[1]
I just told you I have a daughter,"['I just told you I have a daughter', 'I have a daughter']","[8, 4]",3,"['SVO', 'SVO']","[1, 1]"
yeah,['yeah'],[1],0,['V'],[0]
www,['www'],[1],0,['V'],[0]
well she she Cinder Cinderella she she she had a stepmother and two stepsisters,['well she she Cinder Cinderella she she she had a stepmother and two stepsisters'],[14],1,['SVO'],[2]
and they they a be mean to her all the time,['and they they a be mean to her all the time'],[11],3,['SV'],[0]
and then and there was gonna be a ball,"['was', 'and then and there was gonna be a ball']","[1, 10]",3,"['V', 'V']","[0, 1]"
and and a firey,['and and a firey'],[4],1,['V'],[0]
and and all and the mouses,['and and all and the mouses'],[6],2,['V'],[0]
and and then he he she turns Cinderella into a princess,['and and then he he she turns Cinderella into a princess'],[11],3,['SVO'],[1]
and he they go to the ball,['and he they go to the ball'],[7],3,['SV'],[1]
and then and then the prince he he he likes her youknow,['and then and then the prince he he he likes her youknow'],[12],2,['SVO'],[1]
but she got in her carriage and everything but he she hasta be home by twelve twelve oclock,['but she got in her carriage and everything but he she hasta be home by twelve twelve oclock'],[18],3,['SV'],[1]
and then and and when she and she because of she she loses all of the stuff youknow,"['all of the stuff youknow', 'and then and and when she and she because of she she loses all of the stuff youknow']","[5, 18]",5,"['SV', 'SV']","[1, 1]"
and e she and and she run,"['and she run', 'and e she and and she run']","[3, 7]",2,"['SV', 'VS']","[1, 0]"
and then she loses her shoe,['and then she loses her shoe'],[6],2,['SVO'],[1]
and then the the the prince he he goes all ok looking for the countryside looking for the glass skipper,['and then the the the prince he he goes all ok looking for the countryside looking for the glass skipper'],[20],5,['SV'],[1]
and everything and then and e and then allofasudden she said,"['she said', 'and everything and then and e and then allofasudden she said']","[2, 11]",2,"['SV', 'VS']","[1, 0]"
and they say,['and they say'],[3],1,['SV'],[1]
and he said,['and he said'],[3],1,['SV'],[1]
and they and they happy ever after,['and they and they happy ever after'],[7],2,['SV'],[0]
www,['www'],[1],0,['V'],[0]
Id order it in a deli,['Id order it in a deli'],[7],3,['SVO'],[1]
ah the heck,['ah the heck'],[3],2,['V'],[0]
bread peanut butter jelly,['bread peanut butter jelly'],[4],1,['V'],[0]
and then then you make a sandwich,['and then then you make a sandwich'],[7],2,['SVO'],[1]
I dont know I wasnt a,['I dont know I wasnt a'],[8],2,['SV'],[1]
okay,['okay'],[1],0,['V'],[0]
thats it,['thats it'],[3],1,['SVO'],[1]
youknow WholeFoods,['youknow WholeFoods'],[2],1,['VO'],[1]
nine dollars for a jar of peanut butter,['nine dollars for a jar of peanut butter'],[8],5,['V'],[0]
and I said,['and I said'],[3],1,['SV'],[1]
not good,['not good'],[2],1,['V'],[0]
Im not Im not good at this,"['Im not Im not good at this', 'Im not good at this']","[9, 6]",3,"['SV', 'SV']","[1, 1]"
Im not good at this,['Im not good at this'],[6],2,['SV'],[1]
oh s yes one two three four five years ago,['oh s yes one two three four five years ago'],[10],1,['V'],[0]
xxx five years ago yeah,['xxx five years ago yeah'],[5],3,['V'],[0]
I dont know,['I dont know'],[4],1,['SV'],[1]
yeah I know it but I have I I have I I have I have I I I I,['yeah I know it but I have I I have I I have I have I I I I'],[19],0,['VSO'],[3]
wait a second,['wait a second'],[3],2,['V'],[1]
I learned du,['I learned du'],[3],1,['SVO'],[1]
when I have a I have a I have a I have a,"['when I have a I have a I have a I have a', 'when I have a I have a I have a']","[13, 10]",3,"['SOV', 'SOV']","[1, 1]"
all of it for one,['all of it for one'],[5],2,['V'],[0]
allofasudden,['allofasudden'],[1],0,['V'],[0]
I was sleeping,['I was sleeping'],[3],1,['SV'],[1]
I was I h I was in the I was in the I I I I was the the the Overbrook Hospital,['I was I h I was in the I was in the I I I I was the the the Overbrook Hospital'],[22],1,['SV'],[0]
and allofasudden,['and allofasudden'],[2],1,['V'],[0]
allofasudden boomo,['allofasudden boomo'],[2],1,['V'],[0]
some,['some'],[1],0,['V'],[0]
and thats it now,['and thats it now'],[5],1,['SVO'],[1]
it was it was terrible,['it was it was terrible'],[5],2,['SV'],[0]
well I I yeah well a alot of them,['well I I yeah well a alot of them'],[9],1,['VS'],[0]
I I went to I went to Overbrook hospital for about about a year ago over a year ago,"['I went to Overbrook hospital for about about a year ago over a year ago', 'I I went to I went to Overbrook hospital for about about a year ago over a year ago']","[15, 19]",6,"['SV', 'SV']","[1, 1]"
trying these the cat the dog,['trying these the cat the dog'],[6],2,['VO'],[1]
anyway whattya,['anyway whattya'],[2],1,['V'],[0]
its a the,['its a the'],[3],1,['V'],[0]
anyway I tried myself the books books,"['the books books', 'anyway I tried myself the books books']","[3, 7]",2,"['SV', 'SVO']","[1, 1]"
and I and I and I and I n I I was I was in the and I was at Overbrook Hospital,['and I and I and I and I n I I was I was in the and I was at Overbrook Hospital'],[22],2,['VS'],[0]
and I I went to I went to the the hospital,"['and I I went to I went to the the hospital', 'I went to the the hospital']","[11, 6]",4,"['SV', 'SV']","[1, 1]"
though I so I I went to at the at the the Overbrook hospital,['though I so I I went to at the at the the Overbrook hospital'],[14],3,['SV'],[1]
I got the the two days of intensive the,['I got the the two days of intensive the'],[9],3,['SVO'],[1]
Imean Im not sure about this but,"['Im not sure about this', 'Imean Im not sure about this but']","[6, 8]",4,"['SV', 'VS']","[1, 0]"
weights and everything xxx,['weights and everything xxx'],[4],1,['V'],[0]
and and I tried,['and and I tried'],[4],1,['SV'],[1]
I I I I four five years ago I said I I I Ill be Ill be,['I I I I four five years ago I said I I I Ill be Ill be'],[17],1,['VSO'],[2]
Overbrook Hospital has the y a the weights and everything for weights and everything,['Overbrook Hospital has the y a the weights and everything for weights and everything'],[14],5,['SVO'],[1]
so I went to now I went to I I went to,"['I went to I', 'so I went to now I went to I I went to', 'I went to']","[4, 12, 3]",3,"['SV', 'SV', 'SV']","[1, 1, 1]"
about four years ago I was at MontclairStateUniversity,['about four years ago I was at MontclairStateUniversity'],[8],4,['SV'],[0]
and I was I was in the and and I was the at ldu,['and I was I was in the and and I was the at ldu'],[14],3,['SV'],[0]
thats thats the best I can do really I guess,"['thats thats the best I can do really I guess', 'thats thats the best I can do really']","[12, 10]",5,"['SV', 'SV']","[2, 2]"
I went to I went to Tampa too trying this,"['I went to I went to Tampa too trying this', 'I went to Tampa too trying this']","[10, 7]",3,"['SVO', 'SVO']","[1, 1]"
no yeah thats about it I guess,['no yeah thats about it I guess'],[8],0,['VS'],[2]
it was four years ago,['it was four years ago'],[5],3,['SV'],[0]
oh yeah sure,['oh yeah sure'],[3],1,['V'],[0]
oh yeah,['oh yeah'],[2],1,['V'],[0]
language,['language'],[1],0,['V'],[0]
okay,['okay'],[1],0,['V'],[0]
well I was in the Navy,['well I was in the Navy'],[6],3,['SV'],[0]
I was in the Navy,['I was in the Navy'],[5],3,['SV'],[0]
when I was a boy a young man I have the I have the at at at the,['when I was a boy a young man I have the I have the at at at the'],[18],4,['SOV'],[1]
can I see a pen,['can I see a pen'],[5],2,['SVO'],[1]
thankyou,['thankyou'],[1],0,['V'],[0]
I forces,['I forces'],[2],1,['SV'],[1]
I,['I'],[1],0,['V'],[0]
well anyway,['well anyway'],[2],1,['V'],[0]
I I I went I went to I went to the Navy for years,['I I I went I went to I went to the Navy for years'],[14],1,['VS'],[1]
and I was oh I was I was in the Ol Cl Sl at Newport in Virginia Newport,['and I was oh I was I was in the Ol Cl Sl at Newport in Virginia Newport'],[18],8,['SV'],[0]
and then then I was they I was the I was the I was the the a carrier for the the the the the Forrestal Forrestal three years,['and then then I was they I was the I was the I was the the a carrier for the the the the the Forrestal Forrestal three years'],[28],5,['SV'],[0]
I like it,['I like it'],[3],1,['SVO'],[1]
I like it here yeah,['I like it here yeah'],[5],1,['SVO'],[1]
and so I went to and I I went to four years four years at the the the For Forrestal the the ship,"['I went to four years four years at the the the For Forrestal the the ship', 'and so I went to and I I went to four years four years at the the the For Forrestal the the ship']","[16, 23]",5,"['SV', 'SV']","[1, 1]"
and then I was a training officer for about about boy about,['and then I was a training officer for about about boy about'],[12],4,['SV'],[0]
I was about about r forty one r,['I was about about r forty one r'],[8],3,['SV'],[0]
here,['here'],[1],0,['V'],[0]
twenty one two three four five five five,['twenty one two three four five five five'],[8],3,['V'],[0]
I have this a problem with this,['I have this a problem with this'],[7],3,['SVO'],[1]
twenty year twenty nine years anyway I I was a reserve,['twenty year twenty nine years anyway I I was a reserve'],[11],5,['SV'],[0]
so I was about about I was I was,['so I was about about I was I was'],[9],2,['SV'],[0]
now thats the problem I cant spell it,['now thats the problem I cant spell it'],[10],3,['SVO'],[2]
yeah thats right,['yeah thats right'],[4],0,['VS'],[1]
I serve very good,['I serve very good'],[4],2,['SV'],[1]
I cant do,['I cant do'],[4],1,['SV'],[1]
thats right,['thats right'],[3],1,['SV'],[1]
and it was a good it was good,['and it was a good it was good'],[8],2,['SV'],[0]
good,['good'],[1],0,['V'],[0]
yeah sure,['yeah sure'],[2],1,['V'],[0]
yeah,['yeah'],[1],0,['V'],[0]
okay,['okay'],[1],0,['V'],[0]
okay,['okay'],[1],0,['V'],[0]
well a a son has the ball,['well a a son has the ball'],[7],2,['SVO'],[1]
a kid or a boy was has the basketball or or or a hockey player anyway,['a kid or a boy was has the basketball or or or a hockey player anyway'],[16],4,['SVO'],[0]
and kicking and he was kicking the ball,['and kicking and he was kicking the ball'],[8],1,['VSO'],[2]
and it was good it was good,['and it was good it was good'],[7],2,['SV'],[0]
anyway blku,['anyway blku'],[2],1,['V'],[0]
he was he was he was he was knocking the door,['he was he was he was he was knocking the door'],[11],5,['SVO'],[1]
and allofasudden boomo,['and allofasudden boomo'],[3],1,['V'],[0]
his the house right in the house right in the house,['his the house right in the house right in the house'],[11],3,['V'],[0]
and the light was the the the lamp was lost,"['and the light was the the the lamp was lost', 'the the the lamp was lost']","[10, 6]",3,"['SV', 'V']","[1, 1]"
and boomo,['and boomo'],[2],1,['V'],[0]
and then the he was he he and he says,['and then the he was he he and he says'],[10],2,['SV'],[1]
hey boy was looking at the he was he was on he was the man was looking in the the what happened here,"['hey boy was looking at the he was he was on he was the man was looking in the the what happened here', 'hey boy was looking at the']","[23, 6]",5,"['SV', 'SV']","[2, 1]"
and it was good there it was good there but it look at it it was it,['and it was good there it was good there but it look at it it was it'],[17],2,['SV'],[1]
the the man was it was it was yes and no,['the the man was it was it was yes and no'],[11],2,['SV'],[0]
is it was it was good but and bad,['is it was it was good but and bad'],[9],3,['VS'],[0]
and allofasudden boomo,['and allofasudden boomo'],[3],1,['V'],[0]
it was in the the at the,['it was in the the at the'],[7],3,['SV'],[0]
good,['good'],[1],0,['V'],[0]
thats a problem,['thats a problem'],[4],2,['SV'],[1]
I cant do it here,['I cant do it here'],[6],1,['SVO'],[1]
window,['window'],[1],0,['V'],[0]
thats right,['thats right'],[3],1,['SV'],[1]
thats right,['thats right'],[3],1,['SV'],[1]
thats right,['thats right'],[3],1,['SV'],[1]
sure,['sure'],[1],0,['V'],[0]
okay,['okay'],[1],0,['V'],[0]
well the the mother as far as as the mother was at the the the the oh a b umbrella,['well the the mother as far as as the mother was at the the the the oh a b umbrella'],[20],7,['VS'],[0]
and the sin,['and the sin'],[3],1,['V'],[0]
and so he went to the he went to he went he went to the he was he was the the couldnt get,"['and so he went to the', 'couldnt get', 'and so he went to the he went to he went he went to the he was he was the the couldnt get', 'he went', 'he went to the']","[6, 3, 24, 2, 4]",4,"['SV', 'V', 'SV', 'SV', 'SV']","[1, 1, 2, 1, 1]"
ohboy and he couldnt get home,['ohboy and he couldnt get home'],[7],0,['VS'],[1]
not the umbrella boy,['not the umbrella boy'],[4],1,['V'],[0]
but,['but'],[1],0,['V'],[0]
anyway it would its a it was,['anyway it would its a it was'],[7],3,['SOV'],[0]
finally he went to the the door and and,['finally he went to the the door and and'],[9],3,['SV'],[1]
and I couldnt I u I couldnt I u boy finally,['and I couldnt I u I couldnt I u boy finally'],[13],1,['SVO'],[2]
so we went,['so we went'],[3],1,['SV'],[1]
Ill go into the school here,['Ill go into the school here'],[6],3,['SV'],[1]
I,['I'],[1],0,['V'],[0]
xxx,['xxx'],[1],0,['V'],[0]
ohboy,['ohboy'],[1],0,['V'],[0]
oh yeah,['oh yeah'],[2],1,['V'],[0]
well okay,['well okay'],[2],1,['V'],[0]
I was I I I have a I have a I have a dog,['I was I I I have a I have a I have a dog'],[14],1,['SVO'],[1]
and allofasudden I was fine,['and allofasudden I was fine'],[5],1,['SV'],[0]
I was good,['I was good'],[3],1,['SV'],[0]
all the way down all the theres the cat on the o,['all the way down all the theres the cat on the o'],[13],4,['V'],[1]
oh I I was right at the right in the,['oh I I was right at the right in the'],[10],4,['SV'],[0]
oh the cat,['oh the cat'],[3],1,['V'],[0]
but but,['but but'],[2],1,['V'],[0]
but it was okay,['but it was okay'],[4],1,['SV'],[0]
it was the the the the dog was was okay but his,['it was the the the the dog was was okay but his'],[12],2,['SV'],[0]
the the the the dog was okay but but they couldnt,['the the the the dog was okay but but they couldnt'],[12],2,['SV'],[0]
I a,['I a'],[2],1,['V'],[0]
oh it was not o good but I couldnt get it here,['oh it was not o good but I couldnt get it here'],[13],1,['SVO'],[1]
and allofasudden he would go he and and whats happened is he the,"['he would go he and and', 'and allofasudden he would go he and and']","[6, 8]",2,"['SVO', 'VSO']","[1, 2]"
